FEN	Rating
2R5/6pk/1p1q1p1p/3p4/1P1Qn3/3BP1P1/5r1P/6K1 b - - 1 29	865
r1b2rk1/pp2ppbp/1qn3p1/3N4/3N4/4P3/PPPQB1PP/2KR3R b - - 2 12	1398
r1b2r1k/1p1nq1pB/p1nNp3/2ppp1N1/3P1P2/2P5/PP4PP/R2QK2R b KQ - 2 14	904
r1b3k1/5r2/p1p1p1Rp/8/7Q/3BP2P/PqP3P1/6K1 b - - 0 22	879
r1bqr1k1/pp3ppp/3b1n2/2pN2B1/3n4/P2P4/BPP1NPPP/R2QK2R w KQ - 3 11	1398
1r3rk1/p1p2ppp/2Q2nq1/3b4/8/P1N2P2/3B2PP/2KR1BNR w - - 1 16	1025
2q3k1/3b4/3p1p2/2pP4/4B1P1/6K1/1R6/7R b - - 1 33	1314
3r2k1/p5pp/4pb2/2p1p2q/2PrB2P/PQ1P2P1/5P2/3RR1K1 w - - 0 24	1398
rn3r1k/5Npp/2p5/pp1nN3/1b1P1p2/1b1BB1R1/1P3PPP/R5K1 b - - 1 22	1145
8/4R3/8/pp1b1B2/2p2kP1/P6r/2P5/2K5 w - - 0 30	1398
5rk1/pppR4/4npBp/6pP/5p2/P4P2/P1P2P2/2K5 b - - 0 28	1398
r1b1r3/p1pp1kpp/2pP1n2/5Q2/3P4/8/PPP2PPP/RNB1qRK1 w - - 1 13	1398
5rk1/5p2/3p2pQ/4p1N1/6bP/1P3P1K/P2q4/2R5 w - - 0 36	1095
r1b1k2r/p3qp1p/1ppp1n2/4b3/4P3/2NB1Q2/PPPB1PPP/R4RK1 w kq - 0 14	1398
8/pp6/8/8/1P5p/Pq2k3/3R1R2/3K4 w - - 1 61	1317
2r3k1/3p2pp/1p2p1q1/1P1bBr2/P2R1p2/5P2/4Q1PP/5RK1 w - - 1 27	1398
1kR5/6p1/1p1N3p/p2p4/4b1P1/7P/PP1r1r2/2R3K1 b - - 1 31	870
3r1r1k/p3R3/1pp4B/3p4/3P4/3q4/PPP2P2/2K4R b - - 0 27	870
r7/1p4pp/1p4k1/2bp4/3N4/P1B5/1Pb3PP/5R1K b - - 0 21	1398
4r1k1/p1p1rp1p/2p3p1/4P1RP/8/2PQ4/qP4P1/5R1K b - - 0 24	1118
7r/5k1P/6P1/5P1K/8/8/8/8 b - - 0 54	942
